"日期","收盘","开盘","高","低","涨跌幅"
"2024-12-6","1.356","1.430","1.430","1.353","0.44%"
"2024-12-5","1.350","1.445","1.445","1.348","-0.07%"
"2024-12-4","1.351","1.390","1.390","1.348","-1.03%"
"2024-12-3","1.365","1.430","1.430","1.351","-1.59%"
"2024-12-2","1.387","1.470","1.470","1.349","-0.14%"
"2024-11-29","1.389","1.495","1.495","1.373","0.22%"
"2024-11-28","1.386","1.513","1.513","1.383","-0.14%"
"2024-11-27","1.388","1.455","1.455","1.385","2.13%"
"2024-11-26","1.359","1.390","1.400","1.348","-1.52%"
"2024-11-25","1.380","1.380","1.380","1.368","1.10%"
"2024-11-22","1.365","1.378","1.378","1.352","0.52%"
"2024-11-21","1.358","1.418","1.418","1.353","-0.29%"
"2024-11-20","1.362","1.420","1.420","1.353","-2.64%"
"2024-11-19","1.399","1.410","1.410","1.361","0.36%"
"2024-11-18","1.394","1.378","1.433","1.363","1.90%"
"2024-11-15","1.368","1.420","1.420","1.365","-0.87%"
"2024-11-14","1.380","1.410","1.410","1.373","0.22%"
"2024-11-13","1.377","1.400","1.400","1.375","0.88%"
"2024-11-12","1.365","1.420","1.420","1.365","-0.36%"
"2024-11-11","1.370","1.420","1.420","1.370","-0.87%"
"2024-11-8","1.382","1.410","1.410","1.372","1.62%"
"2024-11-7","1.360","1.420","1.420","1.360","-2.02%"
"2024-11-6","1.388","1.390","1.405","1.373","0.73%"
"2024-11-5","1.378","1.420","1.420","1.378","-0.86%"
"2024-11-4","1.390","1.410","1.410","1.380","1.02%"
"2024-11-1","1.376","1.410","1.410","1.375","0.36%"
"2024-10-31","1.371","1.420","1.420","1.371","-1.08%"
"2024-10-30","1.386","1.420","1.470","1.371","0.73%"
"2024-10-29","1.376","1.538","1.538","1.376","-1.57%"
"2024-10-28","1.398","1.490","1.490","1.395","-3.05%"
"2024-10-25","1.442","1.442","1.442","1.442","1.55%"
"2024-10-24","1.420","1.438","1.438","1.420","0.14%"
"2024-10-23","1.418","1.447","1.447","1.418","-2.21%"
"2024-10-22","1.450","1.450","1.450","1.450","1.40%"
"2024-10-21","1.430","1.430","1.430","1.430","-1.38%"
"2024-10-18","1.450","1.459","1.459","1.450","1.19%"
"2024-10-17","1.433","1.404","1.433","1.404","-1.85%"
"2024-10-16","1.460","1.430","1.460","1.430","2.10%"
