"日期","收盘","开盘","高","低","涨跌幅"
"2024-12-6","3.150","3.150","3.150","3.150","0.00%"
"2024-12-5","3.150","3.150","3.150","3.150","-11.27%"
"2024-12-4","3.550","3.550","3.550","3.550","12.70%"
"2024-12-2","3.150","3.150","3.150","3.150","0.00%"
"2024-11-29","3.150","3.150","3.150","3.150","0.00%"
"2024-11-28","3.150","3.150","3.150","3.150","0.00%"
"2024-11-27","3.150","3.150","3.150","3.150","0.00%"
"2024-11-26","3.150","3.150","3.150","3.150","0.00%"
"2024-11-25","3.150","3.550","3.560","3.150","0.00%"
"2024-11-22","3.150","3.150","3.150","3.150","0.00%"
"2024-11-21","3.150","3.150","3.150","3.150","0.00%"
"2024-11-20","3.150","3.150","3.150","3.150","0.00%"
"2024-11-19","3.150","3.150","3.150","3.150","0.00%"
"2024-11-18","3.150","3.150","3.150","3.150","0.00%"
"2024-11-14","3.150","3.150","3.150","3.150","0.00%"
"2024-11-13","3.150","3.150","3.150","3.150","-11.27%"
"2024-11-12","3.550","3.550","3.550","3.550","12.70%"
"2024-11-11","3.150","3.150","3.150","3.150","0.00%"
"2024-11-8","3.150","3.150","3.150","3.150","0.00%"
"2024-11-7","3.150","3.150","3.150","3.150","0.00%"
"2024-11-6","3.150","3.150","3.150","3.150","-11.27%"
"2024-11-5","3.550","3.550","3.550","3.550","12.70%"
"2024-11-1","3.150","3.150","3.150","3.150","0.00%"
"2024-10-31","3.150","3.150","3.150","3.150","-1.56%"
"2024-10-25","3.200","3.550","3.550","3.200","-3.03%"
"2024-10-18","3.300","3.300","3.300","3.300","0.00%"
"2024-10-17","3.300","3.300","3.300","3.300","0.61%"
"2024-10-10","3.280","3.280","3.280","3.280","-0.61%"
"2024-10-9","3.300","3.300","3.300","3.300","0.00%"
"2024-10-8","3.300","3.300","3.300","3.300","0.00%"
"2024-10-4","3.300","3.300","3.300","3.300","0.61%"
"2024-10-2","3.280","3.280","3.280","3.280","0.00%"
"2024-10-1","3.280","3.280","3.280","3.280","-7.61%"
"2024-9-30","3.550","3.280","3.550","3.280","8.23%"
"2024-9-27","3.280","3.280","3.280","3.280","-7.61%"
"2024-9-26","3.550","3.550","3.550","3.550","8.23%"
"2024-9-25","3.280","3.280","3.280","3.280","0.00%"
"2024-9-24","3.280","3.280","3.280","3.280","0.00%"
"2024-9-20","3.280","3.280","3.280","3.280","0.00%"
"2024-9-19","3.280","3.280","3.280","3.280","0.00%"
"2024-9-18","3.280","3.280","3.280","3.280","0.00%"
"2024-9-17","3.280","3.280","3.550","3.280","0.00%"
"2024-9-16","3.280","3.280","3.280","3.280","0.00%"
"2024-9-13","3.280","3.280","3.280","3.280","0.00%"
"2024-9-12","3.280","3.280","3.280","3.280","0.00%"
"2024-9-11","3.280","3.280","3.280","3.280","0.00%"
"2024-9-10","3.280","3.280","3.280","3.280","0.00%"
"2024-9-9","3.280","3.280","3.280","3.280","-7.61%"
"2024-9-5","3.550","3.280","3.550","3.280","8.23%"
"2024-9-4","3.280","3.280","3.280","3.280","0.00%"
"2024-9-3","3.280","3.280","3.280","3.280","0.00%"
"2024-9-2","3.280","3.280","3.280","3.280","0.00%"
"2024-8-30","3.280","3.280","3.280","3.280","0.00%"
"2024-8-29","3.280","3.280","3.280","3.280","0.00%"
"2024-8-28","3.280","3.280","3.280","3.280","0.00%"
"2024-8-27","3.280","3.280","3.280","3.280","0.00%"
"2024-8-26","3.280","3.280","3.280","3.280","-7.61%"
"2024-8-23","3.550","3.550","3.550","3.550","0.00%"
"2024-8-19","3.550","3.550","3.550","3.550","0.00%"
"2024-8-15","3.550","3.560","3.560","3.550","4.41%"
"2024-8-13","3.400","3.950","3.950","3.400","-4.23%"
"2024-8-12","3.550","3.280","3.550","3.280","8.23%"
"2024-8-9","3.280","3.280","3.280","3.280","0.00%"
"2024-8-8","3.280","3.280","3.280","3.280","0.00%"
"2024-8-7","3.280","3.280","3.280","3.280","0.00%"
"2024-8-6","3.280","3.280","3.280","3.280","0.00%"
"2024-8-5","3.280","3.280","3.280","3.280","0.00%"
"2024-8-2","3.280","3.280","3.280","3.280","0.00%"
"2024-8-1","3.280","3.280","3.280","3.280","0.00%"
"2024-7-31","3.280","3.280","3.280","3.280","0.00%"
"2024-7-30","3.280","3.280","3.280","3.280","0.00%"
"2024-7-29","3.280","3.280","3.550","3.280","-1.46%"
"2024-7-27","3.329","3.329","3.329","3.329","1.48%"
"2024-7-26","3.280","3.280","3.280","3.280","0.00%"
"2024-7-25","3.280","3.280","3.280","3.280","0.00%"
"2024-7-24","3.280","3.280","3.280","3.280","0.00%"
"2024-7-23","3.280","3.550","3.550","3.280","0.00%"
"2024-7-22","3.280","3.280","3.280","3.280","-1.44%"
"2024-7-20","3.328","3.328","3.328","3.328","1.46%"
"2024-7-19","3.280","3.280","3.280","3.280","0.00%"
"2024-7-18","3.280","3.280","3.280","3.280","0.00%"
"2024-7-17","3.280","3.280","3.280","3.280","0.00%"
"2024-7-16","3.280","3.280","3.280","3.280","0.00%"
"2024-7-15","3.280","3.280","3.550","3.280","0.00%"
"2024-7-12","3.280","3.280","3.280","3.280","0.00%"
"2024-7-11","3.280","3.280","3.280","3.280","0.00%"
"2024-7-10","3.280","3.280","3.280","3.280","0.00%"
"2024-7-9","3.280","3.280","3.280","3.280","0.00%"
"2024-7-8","3.280","3.280","3.280","3.280","-1.44%"
"2024-7-6","3.328","3.328","3.328","3.328","1.46%"
"2024-7-5","3.280","3.280","3.280","3.280","0.00%"
"2024-7-3","3.280","3.280","3.280","3.280","0.00%"
"2024-7-2","3.280","3.280","3.550","3.280","0.00%"
"2024-7-1","3.280","3.280","3.400","3.280","-1.43%"
"2024-6-29","3.328","3.328","3.328","3.328","1.45%"
