"日期","收盘","开盘","高","低","涨跌幅"
"2024-12-6","4.099","4.105","4.111","4.097","0.42%"
"2024-12-5","4.082","4.059","4.090","4.018","0.25%"
"2024-12-4","4.072","4.170","4.170","4.062","-1.74%"
"2024-12-3","4.144","4.132","4.151","4.132","-0.12%"
"2024-12-2","4.149","4.143","4.150","4.119","0.24%"
"2024-11-29","4.139","4.129","4.143","4.127","0.39%"
"2024-11-28","4.123","4.129","4.134","4.122","-0.63%"
"2024-11-27","4.149","4.146","4.157","4.136","0.00%"
"2024-11-26","4.149","4.120","4.149","4.119","-0.14%"
"2024-11-25","4.155","4.164","4.164","4.136","-0.55%"
"2024-11-22","4.178","4.187","4.192","4.177","0.07%"
"2024-11-21","4.175","4.192","4.192","4.170","0.29%"
"2024-11-20","4.163","4.158","4.177","4.158","-0.45%"
"2024-11-19","4.182","4.184","4.184","4.167","-0.57%"
"2024-11-18","4.206","4.202","4.218","4.202","-0.76%"
"2024-11-15","4.238","4.243","4.253","4.233","-0.47%"
"2024-11-14","4.258","4.246","4.263","4.232","-0.23%"
"2024-11-13","4.268","4.250","4.268","4.244","1.35%"
"2024-11-12","4.211","4.210","4.219","4.208","0.02%"
"2024-11-11","4.210","4.186","4.210","4.183","0.69%"
"2024-11-8","4.181","4.176","4.196","4.150","-0.74%"
"2024-11-7","4.212","4.207","4.214","4.193","-0.47%"
"2024-11-6","4.232","4.214","4.242","4.201","1.17%"
"2024-11-5","4.183","4.178","4.189","4.161","0.43%"
"2024-11-4","4.165","4.184","4.184","4.147","-0.60%"
"2024-11-1","4.190","4.190","4.207","4.187","0.12%"
"2024-10-31","4.185","4.185","4.200","4.184","1.11%"
"2024-10-30","4.139","4.131","4.152","4.124","0.27%"
"2024-10-29","4.128","4.139","4.141","4.122","-0.29%"
"2024-10-28","4.140","4.132","4.142","4.124","0.58%"
"2024-10-25","4.116","4.124","4.126","4.110","-0.36%"
"2024-10-24","4.131","4.137","4.155","4.128","-0.17%"
"2024-10-23","4.138","4.121","4.148","4.119","0.98%"
"2024-10-22","4.098","4.089","4.099","4.074","0.91%"
"2024-10-21","4.061","4.060","4.074","4.056","-0.05%"
"2024-10-18","4.063","4.063","4.076","4.060","0.87%"
"2024-10-17","4.028","3.975","4.048","3.971","1.10%"
"2024-10-16","3.984","3.996","3.996","3.981","-1.12%"
"2024-10-15","4.029","4.049","4.052","4.022","-0.47%"
"2024-10-14","4.048","4.021","4.052","4.019","0.52%"
"2024-10-11","4.027","4.015","4.028","4.012","-0.10%"
"2024-10-10","4.031","4.016","4.033","4.010","0.95%"
"2024-10-9","3.993","3.999","4.000","3.975","0.08%"
"2024-10-8","3.990","4.037","4.037","3.981","-0.84%"
"2024-10-7","4.024","4.010","4.059","4.003","3.82%"
"2024-10-4","3.876","3.860","3.877","3.852","0.96%"
"2024-10-3","3.839","3.835","3.843","3.830","0.29%"
"2024-10-2","3.828","3.803","3.834","3.802","-0.26%"
"2024-10-1","3.838","3.825","3.838","3.820","1.13%"
