"日期","收盘","开盘","高","低","涨跌幅"
"2024年12月6日","1.663","1.663","1.663","1.663","2.57%"
"2024年12月5日","1.621","1.621","1.621","1.621","-0.62%"
"2024年12月4日","1.631","1.631","1.631","1.631","-1.19%"
"2024年12月3日","1.651","1.651","1.651","1.651","-0.34%"
"2024年12月2日","1.657","1.657","1.657","1.657","0.83%"
"2024年11月29日","1.643","1.643","1.643","1.643","1.65%"
"2024年11月28日","1.617","1.617","1.617","1.617","-1.18%"
"2024年11月27日","1.636","1.636","1.636","1.636","2.12%"
"2024年11月26日","1.602","1.602","1.602","1.602","0.28%"
"2024年11月25日","1.597","1.597","1.597","1.597","-0.31%"
"2024年11月22日","1.602","1.602","1.602","1.602","-4.05%"
"2024年11月21日","1.670","1.670","1.670","1.670","-0.42%"
"2024年11月20日","1.677","1.677","1.677","1.677","2.49%"
"2024年11月19日","1.636","1.636","1.636","1.636","0.96%"
"2024年11月18日","1.621","1.621","1.621","1.621","-1.56%"
"2024年11月15日","1.646","1.646","1.646","1.646","-1.88%"
"2024年11月14日","1.678","1.678","1.678","1.678","-2.62%"
"2024年11月13日","1.723","1.723","1.723","1.723","-1.27%"
"2024年11月12日","1.745","1.745","1.745","1.745","0.79%"
"2024年11月11日","1.732","1.732","1.732","1.732","0.75%"
"2024年11月8日","1.719","1.719","1.719","1.719","-0.68%"
"2024年11月7日","1.731","1.731","1.731","1.731","2.85%"
"2024年11月6日","1.683","1.683","1.683","1.683","-0.28%"
"2024年11月5日","1.688","1.688","1.688","1.688","2.36%"
"2024年11月4日","1.649","1.649","1.649","1.649","1.02%"
"2024年11月1日","1.632","1.632","1.632","1.632","0.11%"
"2024年10月31日","1.630","1.630","1.630","1.630","-0.69%"
"2024年10月30日","1.641","1.641","1.641","1.641","-1.46%"
"2024年10月29日","1.666","1.666","1.666","1.666","-1.87%"
"2024年10月28日","1.697","1.697","1.697","1.697","0.97%"
"2024年10月25日","1.681","1.681","1.681","1.681","1.91%"
"2024年10月24日","1.650","1.650","1.650","1.650","-1.55%"
"2024年10月23日","1.676","1.676","1.676","1.676","0.07%"
"2024年10月22日","1.674","1.674","1.674","1.674","1.01%"
"2024年10月21日","1.658","1.658","1.658","1.658","1.16%"
"2024年10月18日","1.639","1.639","1.639","1.639","3.41%"
"2024年10月17日","1.585","1.585","1.585","1.585","-0.80%"
"2024年10月16日","1.597","1.597","1.597","1.597","-1.70%"
"2024年10月15日","1.625","1.625","1.625","1.625","-2.50%"
