"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","69.58","69.19","69.58","69.01","4.10K","1.75%"
"2024-12-5","68.38","69.52","69.52","68.38","12.92K","-1.78%"
"2024-12-4","69.62","68.67","69.62","68.67","16.47K","1.46%"
"2024-12-3","68.62","68.34","68.88","68.34","7.77K","0.04%"
"2024-12-2","68.59","68.89","68.89","68.16","23.04K","0.23%"
"2024-11-29","68.43","68.43","68.43","68.17","3.01K","0.62%"
"2024-11-27","68.01","68.40","68.50","67.73","10.93K","-0.17%"
"2024-11-26","68.12","67.99","68.30","67.82","14.16K","-0.48%"
"2024-11-25","68.45","67.06","68.65","67.06","47.22K","2.96%"
"2024-11-22","66.48","65.59","66.58","65.59","17.37K","1.73%"
"2024-11-21","65.35","64.51","65.52","64.28","7.44K","1.14%"
"2024-11-20","64.61","64.36","64.61","64.17","6.10K","0.47%"
"2024-11-19","64.31","63.47","64.36","63.47","4.94K","0.27%"
"2024-11-18","64.14","64.05","64.44","63.97","27.20K","0.38%"
"2024-11-15","63.90","64.35","64.48","63.70","36.79K","-1.03%"
"2024-11-14","64.57","65.35","65.55","64.48","10.35K","-1.82%"
"2024-11-13","65.76","65.15","66.88","65.15","15.80K","-0.30%"
"2024-11-12","65.96","65.97","66.44","65.75","24.00K","-0.48%"
"2024-11-11","66.28","64.88","66.50","64.88","9.07K","2.93%"
"2024-11-8","64.39","65.07","65.07","64.06","4.31K","-1.57%"
"2024-11-7","65.42","64.87","66.08","64.87","23.06K","1.39%"
"2024-11-6","64.52","63.71","64.52","63.71","11.58K","2.64%"
"2024-11-5","62.86","62.08","62.86","62.08","7.39K","1.66%"
"2024-11-4","61.84","61.51","62.32","61.51","6.50K","0.53%"
"2024-11-1","61.51","61.65","62.23","61.41","30.06K","0.32%"
"2024-10-31","61.31","61.65","61.65","61.12","6.05K","-0.10%"
"2024-10-30","61.38","61.77","61.77","61.38","2.96K","-0.49%"
"2024-10-29","61.68","61.53","61.93","61.14","13.93K","0.14%"
"2024-10-28","61.59","61.22","61.95","61.22","12.07K","1.42%"
"2024-10-25","60.73","61.06","61.38","60.72","3.89K","0.00%"
"2024-10-24","60.73","60.81","61.05","60.38","9.79K","0.00%"
