"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","130.46","128.94","131.13","128.75","281.92K","2.82%"
"2024-12-5","126.88","127.61","128.01","126.81","198.44K","-0.58%"
"2024-12-4","127.62","126.04","128.48","125.72","282.60K","3.48%"
"2024-12-3","123.33","122.32","123.45","121.66","121.73K","0.64%"
"2024-12-2","122.54","122.16","123.39","122.16","183.49K","0.46%"
"2024-11-29","121.98","121.64","122.50","121.64","61.77K","0.42%"
"2024-11-27","121.47","123.78","123.78","120.33","122.79K","-1.98%"
"2024-11-26","123.93","123.62","124.60","123.61","264.55K","0.22%"
"2024-11-25","123.66","124.87","125.33","123.31","398.30K","0.58%"
"2024-11-22","122.95","121.35","123.15","121.35","234.81K","1.66%"
"2024-11-21","120.94","119.44","121.67","119.03","195.50K","2.82%"
"2024-11-20","117.62","117.71","117.97","116.04","193.85K","0.56%"
"2024-11-19","116.97","114.17","117.06","114.17","104.39K","1.22%"
"2024-11-18","115.56","115.95","116.28","115.17","98.29K","-0.02%"
"2024-11-15","115.58","117.27","117.27","114.94","127.01K","-2.21%"
"2024-11-14","118.19","119.78","120.09","118.18","197.92K","-1.46%"
"2024-11-13","119.94","119.77","121.59","119.43","231.79K","0.51%"
"2024-11-12","119.33","118.86","119.92","118.83","127.22K","0.05%"
"2024-11-11","119.27","118.53","119.38","117.77","134.71K","1.35%"
"2024-11-8","117.68","116.66","117.81","116.30","107.47K","0.30%"
"2024-11-7","117.33","115.18","117.55","115.18","218.94K","3.31%"
"2024-11-6","113.57","111.01","113.61","111.01","146.10K","4.47%"
"2024-11-5","108.71","107.13","108.82","107.13","89.19K","1.57%"
"2024-11-4","107.03","107.02","107.57","106.44","272.08K","-0.32%"
"2024-11-1","107.37","106.61","108.03","106.21","79.56K","1.97%"
"2024-10-31","105.30","106.63","107.10","105.25","72.00K","-1.63%"
"2024-10-30","107.05","107.53","108.14","106.94","167.42K","0.02%"
"2024-10-29","107.03","105.49","107.12","105.35","71.40K","1.34%"
"2024-10-28","105.61","106.22","106.33","105.60","69.41K","0.31%"
"2024-10-25","105.28","105.56","106.56","105.16","65.14K","0.29%"
