"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","67.39","68.46","68.49","67.00","","-1.33%"
"2024-12-5","68.30","68.74","69.16","67.98","286.70K","-0.35%"
"2024-12-4","68.54","70.02","70.51","68.49","325.64K","-2.00%"
"2024-12-3","69.94","68.16","70.23","67.91","303.75K","2.70%"
"2024-12-2","68.10","68.00","69.11","67.71","264.88K","0.15%"
"2024-11-29","68.00","68.77","69.69","67.87","291.41K","-1.05%"
"2024-11-27","68.72","68.91","69.37","68.18","227.22K","-0.07%"
"2024-11-26","68.77","69.08","70.30","68.05","292.14K","-0.25%"
"2024-11-25","68.94","71.44","71.48","68.74","380.92K","-3.23%"
"2024-11-22","71.24","70.18","71.51","69.29","408.21K","1.63%"
"2024-11-21","70.10","69.04","70.38","68.86","283.85K","1.79%"
"2024-11-20","68.87","69.55","70.15","68.75","24.43K","-0.75%"
"2024-11-19","69.39","69.01","69.69","68.45","89.36K","0.33%"
"2024-11-18","69.16","66.86","69.39","66.61","110.38K","3.19%"
"2024-11-15","67.02","68.62","68.69","66.82","205.24K","-2.45%"
"2024-11-14","68.70","68.13","69.39","67.92","232.27K","0.39%"
"2024-11-13","68.43","67.98","68.86","66.94","386.03K","0.46%"
"2024-11-12","68.12","68.15","69.13","67.75","286.93K","0.12%"
"2024-11-11","68.04","70.25","70.56","67.92","364.51K","-3.32%"
"2024-11-8","70.38","72.21","72.25","69.99","362.04K","-2.74%"
"2024-11-7","72.36","71.87","72.88","70.66","353.60K","0.93%"
"2024-11-6","71.69","72.02","72.63","69.74","388.27K","-0.42%"
"2024-11-5","71.99","71.62","72.67","71.29","247.31K","0.73%"
"2024-11-4","71.47","70.29","71.81","70.25","286.95K","2.85%"
"2024-11-1","69.49","70.44","71.45","69.32","320.57K","0.33%"
"2024-10-31","69.26","69.10","70.81","68.30","311.06K","0.95%"
"2024-10-30","68.61","67.47","69.17","67.28","284.80K","2.08%"
"2024-10-29","67.21","68.02","68.52","66.72","291.93K","-0.25%"
"2024-10-28","67.38","68.98","69.00","66.92","419.62K","-6.13%"
"2024-10-25","71.78","70.33","71.92","69.96","287.19K","2.27%"
"2024-10-24","70.19","71.02","72.34","69.77","286.57K","-0.82%"
"2024-10-23","70.77","71.35","71.72","70.13","293.84K","-1.83%"
"2024-10-22","72.09","70.49","72.66","70.05","32.18K","2.17%"
"2024-10-21","70.56","69.46","71.03","69.00","92.58K","1.94%"
"2024-10-18","69.22","70.75","71.23","68.69","95.77K","-2.05%"
"2024-10-17","70.67","70.68","71.11","69.44","188.16K","0.40%"
"2024-10-16","70.39","70.99","71.31","69.64","222.44K","-0.27%"
"2024-10-15","70.58","71.51","72.12","69.71","328.74K","-4.40%"
"2024-10-14","73.83","75.05","75.08","71.81","273.46K","-2.29%"
"2024-10-11","75.56","75.74","76.04","74.53","315.30K","-0.38%"
"2024-10-10","75.85","73.39","76.24","73.26","321.45K","3.56%"
"2024-10-9","73.24","73.84","74.45","71.53","401.16K","-0.45%"
"2024-10-8","73.57","77.33","78.46","72.69","496.76K","-4.63%"
"2024-10-7","77.14","74.40","77.40","73.62","419.02K","3.71%"
"2024-10-4","74.38","73.95","75.57","73.46","428.82K","0.91%"
"2024-10-3","73.71","70.98","74.09","70.52","460.55K","5.15%"
"2024-10-2","70.10","70.80","72.49","69.87","429.23K","0.39%"
"2024-10-1","69.83","68.41","71.94","66.33","668.22K","2.44%"
"2024-9-30","68.17","68.63","69.32","67.57","350.12K","-0.01%"
"2024-9-27","68.18","67.45","68.65","67.06","341.13K","0.75%"
"2024-9-26","67.67","69.89","70.01","66.95","478.07K","-2.90%"
"2024-9-25","69.69","71.54","71.72","69.23","476.24K","-2.61%"
"2024-9-24","71.56","70.76","72.40","70.44","318.52K","1.69%"
"2024-9-23","70.37","71.31","71.81","69.49","338.27K","-2.16%"
"2024-9-20","71.92","72.10","72.40","71.36","43.89K","-0.04%"
"2024-9-19","71.95","70.13","72.49","70.13","86.63K","1.47%"
"2024-9-18","70.91","71.14","71.48","69.73","102.91K","-0.39%"
"2024-9-17","71.19","70.50","71.92","69.61","251.63K","1.57%"
"2024-9-16","70.09","69.16","70.70","68.65","295.18K","2.10%"
"2024-9-13","68.65","69.31","70.32","68.47","308.98K","-0.46%"
"2024-9-12","68.97","67.39","69.81","67.24","351.98K","2.47%"
"2024-9-11","67.31","66.28","67.97","65.63","393.31K","2.37%"
"2024-9-10","65.75","68.78","69.08","65.27","442.86K","-4.31%"
"2024-9-9","68.71","68.13","68.96","67.31","299.74K","1.54%"
"2024-9-6","67.67","69.33","70.13","67.17","351.07K","-2.14%"
"2024-9-5","69.15","69.27","70.82","68.75","405.60K","-0.07%"
"2024-9-4","69.20","70.28","71.46","68.82","482.03K","-1.62%"
"2024-9-3","70.34","73.53","74.41","70.10","546.62K","-4.66%"
"2024-9-2","73.78","73.00","74.39","72.89","","1.10%"
"2024-9-1","72.98","73.33","73.42","72.97","","-0.77%"
"2024-8-30","73.55","75.87","76.59","73.36","427.27K","-3.11%"
"2024-8-29","75.91","74.42","76.91","74.05","408.15K","1.87%"
"2024-8-28","74.52","75.75","75.95","73.82","337.36K","-1.34%"
"2024-8-27","75.53","77.20","77.48","75.40","331.16K","-2.44%"
"2024-8-26","77.42","75.10","77.60","75.04","409.68K","3.46%"
"2024-8-23","74.83","72.96","75.07","72.83","313.76K","2.49%"
"2024-8-22","73.01","71.93","73.52","71.58","334.12K","1.50%"
"2024-8-21","71.93","73.12","74.16","71.46","390.53K","-2.85%"
"2024-8-20","74.04","74.34","75.03","73.50","25.80K","-0.44%"
"2024-8-19","74.37","76.58","76.87","74.17","118.17K","-2.97%"
"2024-8-16","76.65","78.16","78.16","75.54","100.81K","-1.93%"
"2024-8-15","78.16","77.52","78.60","76.93","195.12K","1.53%"
"2024-8-14","76.98","78.73","79.10","76.83","357.64K","-1.75%"
"2024-8-13","78.35","79.74","80.15","78.16","370.76K","-2.14%"
"2024-8-12","80.06","76.99","80.16","76.70","376.75K","4.19%"
"2024-8-9","76.84","76.02","77.09","75.85","263.01K","0.85%"
"2024-8-8","76.19","75.47","76.52","74.60","327.30K","1.28%"
"2024-8-7","75.23","72.84","75.84","72.58","428.00K","2.77%"
"2024-8-6","73.20","73.86","74.56","72.20","352.25K","0.36%"
"2024-8-5","72.94","74.21","74.46","71.67","500.15K","-0.79%"
"2024-8-2","73.52","76.87","77.29","72.97","467.79K","-3.66%"
"2024-8-1","76.31","78.59","78.88","76.24","383.01K","-2.05%"
"2024-7-31","77.91","75.24","78.66","75.18","460.32K","4.26%"
"2024-7-30","74.73","75.91","75.97","74.59","419.48K","-1.42%"
