"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","556.12","558.50","560.40","553.25","","-0.38%"
"2024-12-5","558.25","547.75","560.50","545.75","54.47K","1.82%"
"2024-12-4","548.25","548.75","549.75","540.25","52.61K","0.14%"
"2024-12-3","547.50","547.75","556.50","545.75","49.70K","0.05%"
"2024-12-2","547.25","548.00","552.50","542.75","53.01K","-0.14%"
"2024-11-29","548.00","547.00","553.25","543.00","47.68K","-0.09%"
"2024-11-27","548.50","557.00","558.00","547.50","75.02K","-1.70%"
"2024-11-26","558.00","556.00","564.50","553.25","78.15K","0.40%"
"2024-11-25","555.75","565.00","568.50","550.75","82.12K","-1.59%"
"2024-11-22","564.75","570.25","571.25","562.50","61.53K","-0.83%"
"2024-11-21","569.50","572.75","577.50","568.50","58.95K","-0.48%"
"2024-11-20","572.25","567.50","574.50","562.25","60.81K","0.79%"
"2024-11-19","567.75","566.50","575.75","563.50","65.95K","0.35%"
"2024-11-18","565.75","558.25","569.25","554.25","71.37K","5.45%"
"2024-11-15","536.50","532.00","541.25","530.50","73.59K","1.18%"
"2024-11-14","530.25","540.00","544.25","528.00","89.91K","-1.99%"
"2024-11-13","541.00","553.25","553.75","536.25","113.24K","-2.04%"
"2024-11-12","552.25","564.75","568.75","549.00","105.73K","-2.34%"
"2024-11-11","565.50","572.75","572.75","551.75","125.71K","-1.22%"
"2024-11-8","572.50","572.50","578.75","566.50","112.15K","0.17%"
"2024-11-7","571.50","574.50","579.50","565.00","105.86K","-0.31%"
"2024-11-6","573.25","571.00","577.75","562.00","67.95K","0.13%"
"2024-11-5","572.50","569.50","574.50","565.25","58.64K","0.66%"
"2024-11-4","568.75","569.00","575.75","565.00","55.48K","0.13%"
"2024-11-1","568.00","571.50","577.75","564.25","54.16K","-0.44%"
"2024-10-31","570.50","572.75","573.75","563.50","61.59K","-0.48%"
"2024-10-30","573.25","571.25","580.50","564.00","68.18K","0.48%"
"2024-10-29","570.50","559.00","572.75","558.00","67.42K","2.10%"
"2024-10-28","558.75","564.25","571.50","557.75","61.30K","-1.80%"
"2024-10-25","569.00","581.25","585.50","566.00","75.99K","-2.15%"
"2024-10-24","581.50","579.00","584.25","575.00","49.88K","0.52%"
"2024-10-23","578.50","575.75","582.75","566.25","57.25K","0.43%"
"2024-10-22","576.00","574.00","578.75","565.75","49.87K","0.66%"
"2024-10-21","572.25","572.75","584.25","570.75","74.09K","-0.09%"
"2024-10-18","572.75","590.00","595.50","570.25","82.03K","-2.84%"
"2024-10-17","589.50","584.25","591.75","576.25","75.30K","0.77%"
"2024-10-16","585.00","581.25","587.50","575.25","57.51K","0.95%"
"2024-10-15","579.50","585.50","586.75","578.00","69.76K","-0.98%"
"2024-10-14","585.25","598.50","601.00","584.25","55.97K","-2.30%"
"2024-10-11","599.00","603.75","611.25","592.50","75.59K","-0.79%"
"2024-10-10","603.75","600.75","609.25","598.50","60.99K","0.79%"
"2024-10-9","599.00","594.75","604.75","594.25","55.19K","0.71%"
"2024-10-8","594.75","593.75","599.00","587.50","59.04K","0.38%"
"2024-10-7","592.50","590.25","595.25","584.00","55.58K","0.47%"
"2024-10-4","589.75","603.75","604.25","587.00","76.33K","-2.28%"
"2024-10-3","603.50","614.25","617.25","601.25","78.99K","-1.91%"
"2024-10-2","615.25","596.25","617.25","596.25","116.43K","2.71%"
"2024-10-1","599.00","584.00","602.50","577.00","84.58K","2.57%"
"2024-9-30","584.00","579.75","590.75","575.50","58.87K","0.69%"
"2024-9-27","580.00","583.00","583.50","575.50","46.19K","-0.73%"
"2024-9-26","584.25","590.50","596.25","582.75","69.06K","-0.85%"
"2024-9-25","589.25","579.00","591.25","573.75","52.96K","1.95%"
"2024-9-24","578.00","581.25","589.25","575.25","52.27K","-0.77%"
"2024-9-23","582.50","570.50","586.50","569.00","63.33K","2.46%"
"2024-9-20","568.50","566.25","575.75","565.25","60.49K","0.53%"
"2024-9-19","565.50","575.75","577.25","564.00","51.65K","-1.78%"
"2024-9-18","575.75","576.00","582.75","573.00","47.04K","0.00%"
"2024-9-17","575.75","578.50","584.25","571.25","45.71K","-0.48%"
"2024-9-16","578.50","594.75","596.00","574.25","80.58K","1.27%"
"2024-9-13","571.25","571.25","571.25","571.25","","1.47%"
"2024-9-12","563.00","563.00","563.00","563.00","0.00K","-0.13%"
"2024-9-11","563.75","563.75","563.75","563.75","0.01K","0.89%"
"2024-9-10","558.75","554.75","554.75","554.75","0.01K","0.59%"
"2024-9-9","555.50","555.50","555.50","555.50","0.00K","0.41%"
"2024-9-6","553.25","565.75","565.75","552.25","0.43K","-1.38%"
"2024-9-5","561.00","565.50","565.50","557.00","0.12K","-0.75%"
"2024-9-4","565.25","551.50","568.75","551.50","0.16K","2.40%"
"2024-9-3","552.00","531.50","551.75","530.50","0.43K","3.61%"
"2024-8-30","532.75","522.50","534.75","522.50","0.83K","1.48%"
"2024-8-29","525.00","513.00","524.00","508.25","12.49K","2.09%"
"2024-8-28","514.25","507.00","516.00","505.50","19.34K","1.18%"
"2024-8-27","508.25","497.25","510.75","493.50","31.51K","2.06%"
"2024-8-26","498.00","505.25","506.00","495.50","39.32K","-0.85%"
"2024-8-23","502.25","512.00","513.75","501.25","48.97K","-1.71%"
"2024-8-22","511.00","521.25","524.00","502.50","44.56K","-1.68%"
"2024-8-21","519.75","533.75","536.50","519.00","35.07K","-2.49%"
"2024-8-20","533.00","528.00","535.50","525.75","43.75K","0.90%"
"2024-8-19","528.25","530.50","531.25","521.75","46.03K","-0.33%"
"2024-8-16","530.00","527.25","533.50","523.25","52.85K","0.33%"
"2024-8-15","528.25","535.75","547.75","527.00","69.56K","-1.22%"
"2024-8-14","534.75","529.25","537.25","524.00","84.25K","1.13%"
"2024-8-13","528.75","538.00","538.25","525.00","67.77K","-1.49%"
"2024-8-12","536.75","542.75","547.00","528.00","84.75K","-1.06%"
"2024-8-9","542.50","537.25","552.00","536.25","82.40K","0.93%"
"2024-8-8","537.50","537.75","544.50","532.50","67.63K","-0.14%"
"2024-8-7","538.25","544.00","548.75","534.75","79.91K","-0.92%"
"2024-8-6","543.25","540.00","548.75","531.50","59.18K","0.70%"
"2024-8-5","539.50","540.25","541.50","519.75","60.22K","0.09%"
"2024-8-2","539.00","532.00","540.50","528.50","51.48K","1.32%"
"2024-8-1","532.00","526.75","534.75","519.75","56.99K","0.90%"
"2024-7-31","527.25","523.00","534.00","515.50","60.81K","0.62%"
"2024-7-30","524.00","528.75","529.50","517.00","50.33K","-1.32%"
"2024-7-29","531.00","523.50","532.75","514.25","53.53K","1.43%"
"2024-7-26","523.50","537.00","541.25","522.00","56.59K","-2.65%"
"2024-7-25","537.75","546.75","549.75","536.25","44.81K","-1.69%"
"2024-7-24","547.00","542.50","555.50","537.25","51.66K","0.78%"
