"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","2,656.89","2,656.55","2,667.61","2,636.89","","0.32%"
"2024-12-5","2,648.40","2,674.20","2,680.00","2,646.30","156.12K","-1.04%"
"2024-12-4","2,676.20","2,665.80","2,682.00","2,654.20","171.79K","0.31%"
"2024-12-3","2,667.90","2,662.00","2,678.40","2,656.60","140.97K","0.35%"
"2024-12-2","2,658.50","2,673.80","2,678.50","2,644.50","163.54K","-0.84%"
"2024-11-29","2,681.00","2,660.60","2,690.50","2,644.10","180.76K","0.61%"
"2024-11-27","2,664.80","2,658.30","2,683.40","2,652.20","169.46K","1.15%"
"2024-11-26","2,634.40","2,638.70","2,655.50","2,618.50","2.72K","0.14%"
"2024-11-25","2,630.60","2,728.00","2,735.50","2,629.50","2.57K","-3.46%"
"2024-11-22","2,724.90","2,683.60","2,728.30","2,683.60","0.82K","1.41%"
"2024-11-21","2,687.10","2,663.90","2,688.40","2,663.90","0.54K","0.88%"
"2024-11-20","2,663.60","2,648.80","2,670.80","2,634.40","0.73K","0.34%"
"2024-11-19","2,654.60","2,639.80","2,667.00","2,638.10","49.42K","0.62%"
"2024-11-18","2,638.20","2,595.00","2,643.00","2,592.00","48.33K","1.72%"
"2024-11-15","2,593.60","2,594.00","2,604.00","2,583.70","35.41K","-0.11%"
"2024-11-14","2,596.40","2,602.00","2,609.00","2,565.00","38.52K","-0.53%"
"2024-11-13","2,610.30","2,628.60","2,648.80","2,601.90","69.50K","-0.76%"
"2024-11-12","2,630.30","2,650.20","2,656.90","2,619.90","68.56K","-0.43%"
"2024-11-11","2,641.70","2,716.00","2,717.20","2,641.10","75.01K","-2.86%"
"2024-11-8","2,719.50","2,737.40","2,741.60","2,712.00","73.37K","-0.41%"
"2024-11-7","2,730.60","2,691.70","2,742.10","2,674.80","81.67K","1.12%"
"2024-11-6","2,700.40","2,776.40","2,782.80","2,684.90","40.56K","-2.67%"
"2024-11-5","2,774.60","2,770.30","2,784.20","2,758.20","20.42K","0.13%"
"2024-11-4","2,770.90","2,768.40","2,782.00","2,764.90","14.11K","-0.11%"
"2024-11-1","2,773.90","2,778.60","2,797.00","2,767.70","18.54K","0.00%"
"2024-10-31","2,774.00","2,823.80","2,826.00","2,766.60","22.13K","-1.83%"
"2024-10-30","2,825.70","2,811.60","2,826.30","2,807.40","16.16K","0.71%"
"2024-10-29","2,805.80","2,778.30","2,812.40","2,777.30","19.41K","0.91%"
"2024-10-28","2,780.50","2,775.50","2,782.80","2,761.90","6.93K","0.05%"
"2024-10-25","2,779.10","2,773.10","2,785.40","2,754.00","5.50K","0.21%"
"2024-10-24","2,773.30","2,753.50","2,780.10","2,753.40","14.22K","0.71%"
"2024-10-23","2,753.80","2,787.60","2,796.10","2,746.40","11.66K","-1.10%"
"2024-10-22","2,784.40","2,759.30","2,788.00","2,758.00","8.78K","0.76%"
"2024-10-21","2,763.40","2,760.20","2,779.40","2,754.00","9.56K","0.33%"
"2024-10-18","2,754.30","2,731.40","2,761.90","2,731.40","13.14K","0.84%"
"2024-10-17","2,731.40","2,714.00","2,736.20","2,712.60","11.91K","0.61%"
"2024-10-16","2,714.90","2,702.90","2,726.00","2,698.80","7.16K","0.46%"
"2024-10-15","2,702.40","2,688.90","2,708.90","2,678.20","5.51K","0.50%"
"2024-10-14","2,689.00","2,696.10","2,706.90","2,684.30","2.15K","-0.40%"
"2024-10-11","2,699.70","2,670.50","2,701.90","2,669.00","8.09K","1.39%"
"2024-10-10","2,662.60","2,648.60","2,672.00","2,642.50","25.89K","0.52%"
"2024-10-9","2,648.80","2,663.60","2,665.20","2,646.70","7.35K","-0.35%"
"2024-10-8","2,658.20","2,685.30","2,695.20","2,646.40","14.01K","-1.15%"
"2024-10-7","2,689.10","2,692.90","2,702.20","2,680.50","7.02K","-0.06%"
"2024-10-4","2,690.70","2,698.60","2,713.10","2,675.20","16.42K","-0.40%"
"2024-10-3","2,701.60","2,703.40","2,705.00","2,680.20","3.96K","0.36%"
"2024-10-2","2,692.00","2,706.20","2,706.60","2,684.70","3.11K","-0.76%"
"2024-10-1","2,712.50","2,677.70","2,716.70","2,677.00","8.06K","1.16%"
"2024-9-30","2,681.30","2,702.00","2,709.00","2,668.80","5.80K","-0.32%"
"2024-9-27","2,689.90","2,716.50","2,718.50","2,687.60","6.19K","-0.19%"
"2024-9-26","2,694.90","2,681.20","2,708.70","2,677.50","217.64K","0.38%"
"2024-9-25","2,684.70","2,682.80","2,694.90","2,673.40","189.94K","0.29%"
"2024-9-24","2,677.00","2,653.30","2,689.40","2,647.10","216.55K","0.92%"
"2024-9-23","2,652.50","2,646.20","2,659.80","2,638.60","170.49K","0.24%"
"2024-9-20","2,646.20","2,611.20","2,651.00","2,608.70","207.21K","1.21%"
"2024-9-19","2,614.60","2,585.10","2,620.50","2,575.30","204.48K","0.62%"
"2024-9-18","2,598.60","2,596.00","2,627.20","2,572.50","233.13K","0.24%"
"2024-9-17","2,592.40","2,609.80","2,613.70","2,587.30","159.53K","-0.63%"
"2024-9-16","2,608.90","2,608.00","2,617.40","2,602.50","127.58K","-0.07%"
"2024-9-13","2,610.70","2,587.50","2,614.60","2,585.00","174.67K","1.17%"
"2024-9-12","2,580.60","2,540.60","2,588.50","2,538.70","233.68K","1.50%"
"2024-9-11","2,542.40","2,545.70","2,558.00","2,529.00","194.09K","-0.03%"
"2024-9-10","2,543.10","2,536.00","2,547.50","2,528.90","156.11K","0.41%"
"2024-9-9","2,532.70","2,526.50","2,536.50","2,514.20","140.58K","0.32%"
