"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","1,104.23","1,102.88","1,107.28","1,104.09","0.00K","0.18%"
"2024-12-5","1,102.29","1,100.56","1,102.79","1,096.24","0.00K","0.16%"
"2024-12-4","1,100.49","1,095.49","1,100.86","1,093.47","0.00K","0.27%"
"2024-12-3","1,097.52","1,086.87","1,097.94","1,086.87","0.00K","1.02%"
"2024-12-2","1,086.39","1,078.41","1,086.81","1,077.51","0.00K","0.73%"
"2024-11-29","1,078.57","1,079.42","1,084.86","1,074.47","0.00K","-0.10%"
"2024-11-28","1,079.65","1,088.17","1,088.63","1,079.12","0.00K","-0.73%"
"2024-11-27","1,087.58","1,087.57","1,091.46","1,083.14","0.00K","0.06%"
"2024-11-26","1,086.93","1,091.88","1,092.83","1,085.96","0.00K","-0.48%"
"2024-11-25","1,092.20","1,088.38","1,096.03","1,088.38","0.00K","0.45%"
"2024-11-22","1,087.27","1,085.34","1,091.18","1,084.11","0.00K","0.16%"
"2024-11-21","1,085.49","1,093.09","1,093.71","1,084.43","0.00K","-0.76%"
"2024-11-20","1,093.85","1,095.64","1,097.04","1,092.32","0.00K","-0.10%"
"2024-11-19","1,094.94","1,090.58","1,098.66","1,090.44","0.00K","0.48%"
"2024-11-18","1,089.72","1,086.47","1,092.91","1,085.88","0.00K","0.44%"
"2024-11-15","1,085.00","1,084.54","1,089.86","1,082.92","","0.05%"
"2024-11-14","1,084.41","1,093.16","1,094.61","1,082.83","","-0.85%"
"2024-11-13","1,093.70","1,102.84","1,103.05","1,093.10","","-0.86%"
"2024-11-12","1,103.19","1,124.87","1,124.95","1,101.88","","-2.02%"
"2024-11-11","1,125.89","1,133.58","1,133.58","1,121.74","","-0.86%"
"2024-11-8","1,135.65","1,143.59","1,150.79","1,131.96","","-0.43%"
"2024-11-7","1,140.54","1,130.44","1,143.86","1,127.58","","0.77%"
"2024-11-6","1,131.87","1,140.94","1,141.92","1,126.69","","-0.64%"
"2024-11-5","1,139.11","1,129.05","1,140.49","1,123.85","","0.82%"
"2024-11-4","1,129.82","1,122.23","1,130.71","1,122.23","","0.67%"
"2024-11-1","1,122.28","1,120.73","1,125.86","1,113.92","","0.25%"
"2024-10-31","1,119.52","1,127.68","1,129.43","1,119.52","","-0.62%"
"2024-10-30","1,126.51","1,136.09","1,137.55","1,126.51","","-0.88%"
"2024-10-29","1,136.47","1,138.51","1,140.15","1,130.75","","-0.13%"
"2024-10-28","1,137.94","1,135.32","1,138.83","1,132.72","","0.27%"
"2024-10-25","1,134.88","1,136.04","1,140.09","1,133.47","","0.03%"
"2024-10-24","1,134.52","1,143.17","1,143.40","1,133.66","","-0.64%"
"2024-10-23","1,141.81","1,142.33","1,149.11","1,138.48","","-0.03%"
"2024-10-22","1,142.19","1,147.63","1,147.63","1,141.32","","-0.54%"
"2024-10-21","1,148.42","1,154.64","1,158.42","1,146.37","","-0.58%"
"2024-10-18","1,155.12","1,136.08","1,157.01","1,135.25","","1.76%"
"2024-10-17","1,135.13","1,144.19","1,151.51","1,134.64","","-0.78%"
"2024-10-16","1,144.04","1,148.06","1,150.71","1,140.43","","-0.49%"
"2024-10-15","1,149.73","1,160.08","1,162.16","1,148.33","","-0.89%"
"2024-10-14","1,160.06","1,160.12","1,164.20","1,151.16","","0.04%"
"2024-10-11","1,159.56","1,157.35","1,162.42","1,157.11","","0.22%"
"2024-10-10","1,156.96","1,147.95","1,164.21","1,147.45","","0.76%"
"2024-10-9","1,148.27","1,159.10","1,165.95","1,145.52","","-0.69%"
"2024-10-8","1,156.23","1,183.05","1,183.61","1,149.15","","-2.33%"
"2024-10-7","1,183.78","1,174.51","1,186.69","1,174.05","","0.38%"
"2024-10-4","1,179.34","1,170.66","1,180.69","1,169.59","","0.54%"
"2024-10-3","1,173.02","1,186.01","1,186.01","1,168.16","","-1.26%"
"2024-10-2","1,187.97","1,170.47","1,193.49","1,169.40","","1.31%"
"2024-10-1","1,172.59","1,169.77","1,172.59","1,168.92","","0.15%"
"2024-9-30","1,170.85","1,175.50","1,185.42","1,168.48","","-0.31%"
"2024-9-27","1,174.52","1,166.03","1,178.23","1,165.21","","0.96%"
"2024-9-26","1,163.38","1,136.04","1,166.66","1,136.04","","2.34%"
"2024-9-25","1,136.80","1,134.83","1,146.05","1,134.59","","0.42%"
"2024-9-24","1,132.04","1,110.68","1,134.23","1,109.73","","1.92%"
"2024-9-23","1,110.66","1,106.03","1,111.03","1,106.03","","0.38%"
"2024-9-20","1,106.44","1,100.95","1,109.04","1,100.95","","0.57%"
"2024-9-19","1,100.15","1,088.50","1,100.60","1,083.32","","1.14%"
"2024-9-18","1,087.75","1,090.61","1,091.24","1,087.32","","-0.25%"
"2024-9-17","1,090.51","1,086.94","1,091.55","1,085.91","","0.41%"
"2024-9-16","1,086.02","1,083.98","1,087.40","1,081.13","","0.34%"
"2024-9-13","1,082.30","1,077.01","1,083.58","1,076.83","","0.62%"
"2024-9-12","1,075.62","1,059.77","1,077.37","1,059.77","","1.60%"
"2024-9-11","1,058.69","1,062.36","1,062.58","1,056.67","","-0.39%"
"2024-9-10","1,062.88","1,063.10","1,065.27","1,061.75","","-0.05%"
"2024-9-9","1,063.44","1,071.40","1,071.40","1,059.96","","-1.07%"
"2024-9-6","1,074.89","1,077.49","1,081.01","1,072.49","","-0.11%"
"2024-9-5","1,076.09","1,074.94","1,080.78","1,073.29","","0.23%"
"2024-9-4","1,073.59","1,089.53","1,089.53","1,070.92","","-1.52%"
"2024-9-3","1,090.17","1,096.25","1,096.84","1,089.87","","-0.56%"
"2024-9-2","1,096.34","1,099.99","1,101.37","1,095.33","","-0.33%"
"2024-8-30","1,099.92","1,095.76","1,103.53","1,095.53","","0.45%"
"2024-8-29","1,094.96","1,095.29","1,096.33","1,089.26","","-0.21%"
"2024-8-28","1,097.22","1,100.27","1,100.42","1,094.89","","-0.23%"
"2024-8-27","1,099.77","1,103.94","1,103.94","1,098.35","","-0.41%"
"2024-8-26","1,104.28","1,104.57","1,109.11","1,103.09","","0.33%"
"2024-8-23","1,100.68","1,098.66","1,104.47","1,094.44","","-0.03%"
"2024-8-22","1,100.98","1,101.15","1,103.53","1,098.21","","0.01%"
"2024-8-21","1,100.89","1,104.48","1,105.12","1,098.03","","-0.32%"
"2024-8-20","1,104.45","1,105.98","1,108.95","1,104.45","","0.08%"
"2024-8-19","1,103.53","1,096.12","1,105.41","1,095.17","","0.90%"
"2024-8-16","1,093.65","1,075.36","1,095.92","1,075.36","","1.64%"
"2024-8-15","1,076.00","1,076.29","1,077.66","1,071.31","","-0.05%"
"2024-8-14","1,076.57","1,074.15","1,078.64","1,074.15","","0.52%"
"2024-8-13","1,071.01","1,069.11","1,073.38","1,067.80","","0.18%"
