"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","607.81","607.44","609.07","607.02","31.24M","0.19%"
"2024-12-5","606.66","607.66","608.48","606.30","28.76M","-0.16%"
"2024-12-4","607.66","605.63","607.91","604.95","42.79M","0.62%"
"2024-12-3","603.91","603.39","604.16","602.34","26.91M","0.05%"
"2024-12-2","603.63","602.97","604.32","602.47","31.75M","0.18%"
"2024-11-29","602.55","599.66","603.35","599.38","30.18M","0.62%"
"2024-11-27","598.83","600.46","600.85","597.28","34.00M","-0.30%"
"2024-11-26","600.65","598.80","601.33","598.07","45.62M","0.52%"
"2024-11-25","597.53","599.52","600.86","595.20","42.44M","0.34%"
"2024-11-22","595.51","593.66","596.15","593.15","38.23M","0.31%"
"2024-11-21","593.67","593.40","595.12","587.45","46.75M","0.54%"
"2024-11-20","590.50","590.38","590.79","584.63","50.03M","0.03%"
"2024-11-19","590.30","584.71","591.04","584.03","49.41M","0.37%"
"2024-11-18","588.15","586.22","589.49","585.34","37.08M","0.41%"
"2024-11-15","585.75","589.72","590.20","583.86","75.99M","-1.28%"
"2024-11-14","593.35","597.32","597.81","592.65","38.90M","-0.64%"
"2024-11-13","597.19","597.37","599.23","594.96","47.39M","0.05%"
"2024-11-12","596.90","598.68","599.29","594.37","43.01M","-0.31%"
"2024-11-11","598.76","599.81","600.17","597.00","37.59M","0.10%"
"2024-11-8","598.19","596.17","599.64","596.16","46.44M","0.43%"
"2024-11-7","595.61","593.08","596.65","593.00","47.23M","0.77%"
"2024-11-6","591.04","589.20","591.93","585.39","68.18M","2.49%"
"2024-11-5","576.70","570.74","576.74","570.52","39.48M","1.21%"
"2024-11-4","569.81","571.18","572.50","567.89","38.22M","-0.22%"
"2024-11-1","571.04","571.32","575.55","570.62","45.67M","0.42%"
"2024-10-31","568.64","575.56","575.63","568.44","60.18M","-1.96%"
"2024-10-30","580.01","581.29","583.32","579.29","41.44M","-0.30%"
"2024-10-29","581.77","579.85","582.91","578.43","42.90M","0.16%"
"2024-10-28","580.83","582.58","582.71","580.52","30.17M","0.31%"
"2024-10-25","579.04","581.51","584.46","578.08","47.27M","-0.03%"
"2024-10-24","579.24","579.98","580.06","576.57","34.98M","0.22%"
"2024-10-23","577.99","581.26","581.71","574.41","49.31M","-0.91%"
"2024-10-22","583.32","581.05","584.50","580.38","34.18M","-0.05%"
"2024-10-21","583.63","583.85","584.85","580.60","36.44M","-0.16%"
"2024-10-18","584.59","584.07","585.39","582.58","37.42M","0.38%"
"2024-10-17","582.35","585.91","586.12","582.16","34.39M","0.01%"
"2024-10-16","582.30","579.78","582.83","578.96","30.73M","0.43%"
"2024-10-15","579.78","584.59","584.90","578.54","54.20M","-0.78%"
"2024-10-14","584.32","581.22","585.27","580.73","36.22M","0.82%"
"2024-10-11","579.58","576.05","580.33","575.91","42.27M","0.60%"
"2024-10-10","576.13","575.77","577.58","574.49","44.14M","-0.18%"
"2024-10-9","577.14","573.16","577.71","572.55","37.91M","0.69%"
"2024-10-8","573.17","570.42","573.78","569.53","37.40M","0.95%"
"2024-10-7","567.80","571.30","571.96","566.63","49.96M","-0.90%"
"2024-10-4","572.98","572.35","573.36","568.10","43.01M","0.91%"
"2024-10-3","567.82","567.36","569.80","565.49","40.85M","-0.18%"
