"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-12-6","4,977.35","4,946.65","4,985.75","4,942.45","","0.52%"
"2024-12-5","4,951.58","4,914.06","4,954.92","4,912.75","29.75M","0.66%"
"2024-12-4","4,919.02","4,884.94","4,929.53","4,884.52","22.68M","0.83%"
"2024-12-3","4,878.51","4,854.14","4,902.04","4,854.14","25.25M","0.66%"
"2024-12-2","4,846.73","4,785.15","4,848.87","4,764.38","27.36M","0.88%"
"2024-11-29","4,804.40","4,754.62","4,810.49","4,741.89","23.07M","0.96%"
"2024-11-28","4,758.65","4,759.22","4,781.09","4,747.37","15.60M","0.54%"
"2024-11-27","4,733.15","4,752.43","4,752.43","4,705.97","23.57M","-0.61%"
"2024-11-26","4,761.99","4,781.47","4,792.71","4,747.01","25.24M","-0.79%"
"2024-11-25","4,799.87","4,806.29","4,831.28","4,790.77","46.76M","0.23%"
"2024-11-22","4,789.08","4,772.83","4,797.95","4,722.77","32.45M","0.70%"
"2024-11-21","4,755.83","4,731.23","4,757.59","4,690.45","22.66M","0.55%"
"2024-11-20","4,729.71","4,760.61","4,786.28","4,717.45","21.53M","-0.45%"
"2024-11-19","4,751.23","4,791.89","4,801.23","4,688.68","31.16M","-0.82%"
"2024-11-18","4,790.33","4,786.54","4,800.47","4,755.79","23.57M","-0.09%"
"2024-11-15","4,794.85","4,810.59","4,829.68","4,785.65","26.34M","-0.80%"
"2024-11-14","4,833.53","4,759.77","4,835.78","4,747.57","25.66M","1.97%"
"2024-11-13","4,740.34","4,740.93","4,761.09","4,699.78","25.87M","-0.09%"
"2024-11-12","4,744.69","4,834.34","4,834.34","4,741.99","30.61M","-2.25%"
"2024-11-11","4,854.03","4,825.50","4,875.75","4,825.50","21.24M","1.07%"
"2024-11-8","4,802.76","4,853.50","4,862.64","4,791.06","29.19M","-1.01%"
"2024-11-7","4,851.96","4,812.63","4,869.39","4,810.63","34.83M","1.07%"
"2024-11-6","4,800.63","4,880.35","4,946.48","4,788.41","43.57M","-1.43%"
"2024-11-5","4,870.33","4,853.66","4,874.55","4,839.44","23.00M","0.38%"
"2024-11-4","4,852.10","4,873.95","4,893.35","4,852.10","24.56M","-0.53%"
"2024-11-1","4,877.75","4,829.48","4,889.49","4,829.48","25.85M","1.04%"
"2024-10-31","4,827.63","4,866.03","4,866.03","4,805.23","34.47M","-1.19%"
"2024-10-30","4,885.75","4,931.32","4,931.32","4,866.59","24.93M","-1.30%"
"2024-10-29","4,950.02","4,978.73","4,999.72","4,948.84","25.52M","-0.40%"
"2024-10-28","4,969.83","4,962.16","4,982.74","4,932.61","22.49M","0.54%"
"2024-10-25","4,943.09","4,940.35","4,953.34","4,915.57","19.20M","0.15%"
"2024-10-24","4,935.45","4,929.02","4,970.48","4,929.02","19.46M","0.26%"
"2024-10-23","4,922.55","4,924.40","4,948.38","4,906.28","19.83M","-0.34%"
"2024-10-22","4,939.31","4,941.04","4,965.75","4,910.32","21.40M","-0.04%"
"2024-10-21","4,941.22","4,977.90","4,989.32","4,938.10","21.93M","-0.90%"
"2024-10-18","4,986.27","4,950.05","4,986.27","4,944.13","29.69M","0.79%"
"2024-10-17","4,947.30","4,913.99","4,973.79","4,913.99","28.48M","0.79%"
"2024-10-16","4,908.71","4,918.44","4,926.08","4,898.95","28.22M","-0.77%"
"2024-10-15","4,946.73","5,045.63","5,053.23","4,946.73","32.91M","-1.87%"
"2024-10-14","5,041.01","5,007.27","5,044.74","4,999.18","20.40M","0.74%"
"2024-10-11","5,003.92","4,970.64","5,005.83","4,953.82","23.47M","0.68%"
"2024-10-10","4,970.34","4,980.12","4,986.70","4,950.16","23.59M","-0.25%"
"2024-10-9","4,982.57","4,948.79","4,984.79","4,930.13","19.72M","0.68%"
"2024-10-8","4,949.00","4,953.91","4,955.96","4,911.83","19.75M","-0.42%"
"2024-10-7","4,969.71","4,959.24","4,976.67","4,930.79","22.14M","0.30%"
"2024-10-4","4,954.94","4,920.20","4,976.02","4,911.36","26.48M","0.68%"
"2024-10-3","4,921.33","4,959.20","4,959.20","4,907.60","25.76M","-0.85%"
"2024-10-2","4,963.29","4,961.73","4,983.22","4,931.56","25.21M","0.18%"
"2024-10-1","4,954.15","5,004.37","5,016.88","4,933.39","31.88M","-0.93%"
"2024-9-30","5,000.45","5,060.76","5,060.76","5,000.45","35.00M","-1.32%"
"2024-9-27","5,067.45","5,028.35","5,071.41","5,028.35","27.22M","0.69%"
"2024-9-26","5,032.59","4,956.34","5,035.44","4,956.34","31.63M","2.35%"
"2024-9-25","4,916.89","4,928.15","4,933.37","4,905.33","19.76M","-0.48%"
"2024-9-24","4,940.72","4,907.58","4,953.69","4,907.58","20.38M","1.13%"
"2024-9-23","4,885.57","4,875.62","4,893.98","4,854.93","21.86M","0.29%"
"2024-9-20","4,871.54","4,929.15","4,930.22","4,868.80","53.93M","-1.45%"
"2024-9-19","4,943.38","4,862.41","4,943.38","4,862.41","29.18M","2.24%"
"2024-9-18","4,835.30","4,861.52","4,864.60","4,831.09","19.65M","-0.52%"
"2024-9-17","4,860.78","4,832.82","4,879.61","4,832.82","22.51M","0.69%"
"2024-9-16","4,827.63","4,835.16","4,852.71","4,820.11","16.65M","-0.34%"
"2024-9-13","4,843.99","4,817.74","4,853.89","4,817.74","19.22M","0.62%"
"2024-9-12","4,814.08","4,777.77","4,836.64","4,777.77","21.94M","1.06%"
"2024-9-11","4,763.58","4,752.58","4,796.49","4,735.95","22.66M","0.35%"
"2024-9-10","4,747.20","4,779.55","4,803.37","4,736.89","25.14M","-0.66%"
"2024-9-9","4,778.66","4,745.21","4,797.75","4,745.21","18.48M","0.86%"
"2024-9-6","4,738.06","4,806.59","4,829.28","4,732.86","26.62M","-1.60%"
"2024-9-5","4,815.15","4,840.70","4,854.33","4,814.77","20.34M","-0.68%"
"2024-9-4","4,848.18","4,889.17","4,889.17","4,838.83","20.84M","-1.31%"
"2024-9-3","4,912.52","4,977.97","4,986.74","4,906.98","21.27M","-1.22%"
"2024-9-2","4,973.07","4,955.87","4,973.39","4,924.18","14.22M","0.30%"
"2024-8-30","4,957.98","4,959.03","4,980.86","4,957.96","34.04M","-0.17%"
