"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","Markettype","Ahshrtrd_D","Ahvaltrd_D"
"000538","2019-12-17","87.420","87.750","86.630","87.700","4168104","363845045.260","53116805.77","112028270.90","0.003318","0.003318","1599.030587","1221.009567","4","0","0.000"
"000538","2019-12-18","87.390","87.470","86.120","86.300","4064173","352026068.590","52268875.00","110239906.26","-0.015964","-0.015964","1573.504443","1201.517966","4","0","0.000"
"000538","2019-12-19","86.290","87.150","86.120","86.810","2393563","207306178.570","52577764.07","110891381.95","0.005910","0.005910","1582.803253","1208.618478","4","0","0.000"
"000538","2019-12-20","86.810","87.000","86.280","86.400","2640326","228572213.510","52329441.48","110367646.59","-0.004723","-0.004723","1575.327739","1202.910223","4","0","0.000"
"000538","2019-12-23","86.390","87.590","85.600","86.460","3320739","288526524.260","52365781.37","110444290.79","0.000694","0.000694","1576.421717","1203.745577","4","0","0.000"
"000538","2019-12-24","86.400","88.500","86.300","87.950","3942109","346204400.280","53268221.97","112347621.73","0.017233","0.017233","1603.588827","1224.490209","4","0","0.000"
"000538","2019-12-25","87.900","89.620","87.760","88.540","4060719","361028950.340","53625564.23","113101289.69","0.006708","0.006708","1614.346273","1232.704526","4","0","0.000"
"000538","2019-12-26","88.610","88.610","87.330","87.990","2844674","249601031.450","53292448.57","112398717.86","-0.006212","-0.006212","1604.318145","1225.047111","4","0","0.000"
"000538","2019-12-27","87.980","88.010","87.120","87.660","2889543","252958002.570","53092579.17","111977174.77","-0.003750","-0.003750","1598.301268","1220.452662","4","0","0.000"
"000538","2019-12-30","87.510","88.180","86.500","88.100","3967664","347319801.200","53359071.70","112539232.23","0.005019","0.005019","1606.323770","1226.578594","4","0","0.000"
"000538","2019-12-31","88.000","89.860","88.000","89.430","4506577","402395189.810","53850385.30","114238178.64","0.015096","0.015096","1630.573607","1245.095615","4","0","0.000"
"000538","2020-01-02","90.000","90.100","88.760","89.310","5386776","480415279.470","53778127.16","114084890.24","-0.001342","-0.001342","1628.385652","1243.424906","4","0","0.000"
"000538","2020-01-03","89.360","90.100","88.880","89.100","3646838","326236146.160","53651675.39","113816635.54","-0.002351","-0.002351","1624.556730","1240.501166","4","0","0.000"
