"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","LimitStatus"
"000725","2019-12-17","4.380","4.830","4.350","4.750","2469104032","11456030375.000","160833810.40","160845855.06","0.082005","0.082005","23.033727","21.853620","0"
"000725","2019-12-18","4.750","4.770","4.620","4.660","1329957590","6218775925.970","157786432.94","157798249.38","-0.018947","-0.018947","22.597298","21.439551","0"
"000725","2019-12-19","4.690","4.810","4.620","4.690","1283323942","6055358307.990","158802225.42","158814117.94","0.006438","0.006438","22.742774","21.577574","0"
"000725","2019-12-20","4.710","4.830","4.660","4.680","941935809","4467357138.240","158463627.93","158475495.09","-0.002132","-0.002132","22.694282","21.531566","0"
"000725","2019-12-23","4.760","4.810","4.540","4.560","1186509722","5560483237.960","154400457.98","154412020.85","-0.025641","-0.025641","22.112377","20.979475","0"
"000725","2019-12-24","4.600","4.720","4.480","4.700","958254755","4410735133.270","159140822.92","159152740.79","0.030702","0.030702","22.791266","21.623582","0"
"000725","2019-12-25","4.670","4.780","4.650","4.740","794667408","3740227994.610","160495212.90","160507232.20","0.008511","0.008511","22.985234","21.807612","0"
"000725","2019-12-26","4.780","4.890","4.730","4.830","1178118132","5670161331.340","163542590.36","163554837.88","0.018987","0.018987","23.421662","22.221681","0"
"000725","2019-12-27","4.850","4.850","4.610","4.640","1174405905","5535803934.020","157109237.94","157121003.68","-0.039337","-0.039337","22.500313","21.347536","0"
"000725","2019-12-30","4.560","4.590","4.420","4.560","966894559","4366782829.980","154400457.98","154412020.85","-0.017241","-0.017241","22.112377","20.979475","0"
"000725","2019-12-31","4.560","4.620","4.500","4.540","624963331","2843637287.100","153726944.73","153734775.15","-0.004386","-0.004386","22.015393","20.887460","0"
"000725","2020-01-02","4.570","4.670","4.550","4.610","810319566","3740718881.040","156097183.97","156105135.12","0.015419","0.015419","22.354837","21.209513","0"
"000725","2020-01-03","4.620","4.760","4.590","4.730","994540563","4667172017.230","160160451.23","160168609.35","0.026030","0.026030","22.936742","21.761604","0"
"000725","2020-01-06","4.670","4.800","4.630","4.710","947278502","4471327996.210","159483240.02","159491363.65","-0.004228","-0.004228","22.839758","21.669589","0"
"000725","2020-01-07","4.730","4.770","4.650","4.680","653764713","3072428716.050","158467423.21","158475495.09","-0.006369","-0.006369","22.694282","21.531566","0"
"000725","2020-01-08","4.820","5.130","4.790","4.960","2182749323","10757770424.040","167948380.15","167956934.96","0.059829","0.059829","24.052060","22.819779","0"
"000725","2020-01-09","5.060","5.120","4.930","5.000","1096408483","5495429974.680","169302802.57","169311426.38","0.008065","0.008065","24.246028","23.003809","0"
