"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","LimitStatus"
"002625","2019-12-17","10.700","10.720","10.530","10.690","12982133","138010610.590","5460967.60","23032544.24","-0.002799","-0.002799","70.882543","69.513680","0"
"002625","2019-12-18","10.670","10.670","10.420","10.480","12348963","129804098.770","5353689.47","22580080.79","-0.019645","-0.019645","69.490089","68.148117","0"
"002625","2019-12-19","10.520","10.860","10.520","10.620","12582984","134470634.310","5425208.22","22881723.09","0.013359","0.013359","70.418392","69.058493","0"
"002625","2019-12-20","10.670","10.870","10.370","10.380","10984038","116532059.560","5302604.65","22364622.01","-0.022599","-0.022599","68.827016","67.497849","0"
"002625","2019-12-23","10.240","10.510","10.170","10.200","7562883","78131838.000","5210651.97","21976796.19","-0.017341","-0.017341","67.633484","66.327366","0"
"002625","2019-12-24","9.380","9.750","9.180","9.700","18978324","179718370.460","4955227.85","20899502.26","-0.049020","-0.049020","64.318117","63.076025","0"
"002625","2019-12-25","9.660","9.800","9.440","9.490","11882117","113856122.520","4847949.72","20447038.81","-0.021649","-0.021649","62.925663","61.710462","0"
"002625","2019-12-26","9.520","9.650","9.200","9.410","12864755","120285971.950","4807081.86","20274671.78","-0.008430","-0.008430","62.395204","61.190247","0"
"002625","2019-12-27","9.410","9.480","9.220","9.220","8643718","80561893.930","4710020.70","19865300.09","-0.020191","-0.020191","61.135365","59.954737","0"
"002625","2019-12-30","9.210","9.330","8.930","9.260","7911948","72625776.060","4730454.63","19951483.60","0.004338","0.004338","61.400594","60.214844","0"
"002625","2019-12-31","9.250","9.310","9.080","9.150","12122396","110877609.260","4674261.32","19714478.94","-0.011879","-0.011879","60.671213","59.499549","0"
"002625","2020-01-02","9.190","9.300","9.180","9.240","13359168","123392392.940","4720237.66","19908391.84","0.009836","0.009836","61.267979","60.084790","0"
"002625","2020-01-03","9.280","9.570","9.200","9.520","16347422","153878508.770","4863275.17","20511676.45","0.030303","0.030303","63.124584","61.905541","0"
"002625","2020-01-06","9.520","9.660","9.370","9.510","15192802","144479562.360","4858166.69","20490130.57","-0.001050","-0.001050","63.058277","61.840514","0"
"002625","2020-01-07","9.510","9.590","9.400","9.590","15926929","151302607.090","4899034.54","20662497.60","0.008412","0.008412","63.588736","62.360729","0"
"002625","2020-01-08","9.610","9.750","9.470","9.530","21346184","204972527.130","4868383.65","20533222.32","-0.006257","-0.006257","63.190892","61.970568","0"
"002625","2020-01-09","9.550","9.630","9.510","9.590","12265511","117373048.570","4899034.54","20662497.60","0.006296","0.006296","63.588736","62.360729","0"
"002625","2020-01-10","9.580","9.630","9.310","9.360","14953353","140808210.820","4781539.45","20166942.39","-0.023983","-0.023983","62.063667","60.865112","0"
"002625","2020-01-13","9.400","9.550","9.160","9.550","13421422","125748938.410","4878600.62","20576314.08","0.020299","0.020299","63.323506","62.100622","0"
"002625","2020-01-14","9.580","9.740","9.510","9.670","16348332","157769785.260","4939902.40","20834864.63","0.012565","0.012565","64.119194","62.880944","0"
"002625","2020-01-15","9.670","9.670","9.430","9.490","8925879","84948061.140","4847949.72","20447038.81","-0.018614","-0.018614","62.925662","61.710461","0"
"002625","2020-01-16","9.340","9.350","9.110","9.170","13812088","127551840.800","4684478.29","19757570.69","-0.033720","-0.033720","60.803827","59.629602","0"
"002625","2020-01-17","9.110","9.230","8.960","8.970","12926078","117082991.720","4582308.64","19326653.12","-0.021810","-0.021810","59.477680","58.329065","0"
"002625","2020-01-20","8.950","8.950","8.710","8.900","10611198","93996918.380","4546549.26","19175831.97","-0.007804","-0.007804","59.013529","57.873877","0"
"002625","2020-01-21","8.980","9.050","8.830","8.860","8801800","78439942.320","4526115.34","19089648.46","-0.004494","-0.004494","58.748300","57.613770","0"
"002625","2020-01-22","8.840","8.970","8.600","8.860","8780300","77588122.590","4526115.34","19089648.46","0.000000","0.000000","58.748300","57.613770","0"
"002625","2020-01-23","8.690","8.880","8.320","8.440","11803062","101260299.160","4311559.08","18184721.56","-0.047404","-0.047404","55.963392","54.882643","0"
"002625","2020-02-03","7.600","7.600","7.600","7.600","1391300","10573880.000","3882446.56","16374867.75","-0.099526","-0.099526","50.393576","49.420389","-1"
"002625","2020-02-04","6.840","7.390","6.840","7.230","14889289","106549095.950","3693432.72","15577670.24","-0.048684","-0.048684","47.940205","47.014396","0"
"002625","2020-02-05","7.200","7.730","7.190","7.650","13536383","101939122.430","3907988.97","16482597.14","0.058091","0.058091","50.725113","49.745523","0"
"002625","2020-02-06","7.650","7.850","7.510","7.800","10888823","84325254.660","3984616.21","16805785.32","0.019608","0.019608","51.719723","50.720925","0"
"002625","2020-02-07","7.820","7.910","7.660","7.790","9811853","76189986.100","3979507.73","16784239.44","-0.001282","-0.001282","51.653416","50.655898","0"
"002625","2020-02-10","7.740","8.030","7.640","7.880","13944459","109741692.990","4025484.07","16978152.35","0.011553","0.011553","52.250182","51.241139","0"
"002625","2020-02-11","8.050","8.050","7.710","7.740","11594155","90384898.190","3953982.58","16676510.05","-0.017766","-0.017766","51.321879","50.330763","0"
"002625","2020-02-12","7.730","7.860","7.700","7.820","11691449","91077620.690","3994850.62","16848877.08","0.010336","0.010336","51.852338","50.850978","0"
"002625","2020-02-13","7.830","8.000","7.650","7.660","20152157","157366258.420","8924666.80","16504143.02","-0.020460","-0.020460","50.791421","49.810549","0"
"002625","2020-02-14","7.650","7.730","7.550","7.630","12416375","94914259.110","8889713.79","16439505.39","-0.003916","-0.003916","50.592499","49.615469","0"
"002625","2020-02-17","7.680","8.040","7.630","7.900","34313122","270191487.420","9204290.82","17021244.11","0.035387","0.035387","52.382797","51.371193","0"
"002625","2020-02-18","7.950","8.680","7.950","8.240","45144198","374362973.060","9600424.86","17753803.98","0.043038","0.043038","54.637246","53.582105","0"
"002625","2020-02-19","8.230","8.480","8.100","8.280","31664163","263680758.170","9647028.86","17839987.50","0.004854","0.004854","54.902475","53.842212","0"
"002625","2020-02-20","8.270","8.520","8.100","8.460","34452220","286274089.720","9856746.88","18227813.31","0.021739","0.021739","56.096007","55.012695","0"
"002625","2020-02-21","8.470","8.950","8.360","8.780","42645982","370609436.590","10229578.91","18917281.43","0.037825","0.037825","58.217842","57.093553","0"
"002625","2020-02-24","8.830","9.160","8.610","9.150","45949849","408718658.690","10660665.95","19714478.94","0.042141","0.042141","60.671213","59.499546","0"
"002625","2020-02-25","8.910","10.070","8.800","9.840","71088619","671335752.040","11464585.02","21201144.56","0.075410","0.075410","65.246419","63.986397","0"
"002625","2020-02-26","9.530","9.820","9.210","9.290","44993434","428584596.020","10823779.97","20016121.24","-0.055894","-0.055894","61.599516","60.409922","0"
"002625","2020-02-27","9.520","9.830","9.290","9.370","42464168","404817513.170","10916987.97","20188488.27","0.008611","0.008611","62.129975","60.930137","0"
"002625","2020-02-28","9.000","9.080","8.440","8.460","36039923","315943349.620","9856746.88","18227813.31","-0.097118","-0.097118","56.096007","55.012696","0"
"002625","2020-03-02","8.590","8.850","8.570","8.720","29565160","257473744.360","10159672.91","18788006.16","0.030733","0.030733","57.819998","56.703394","0"
"002625","2020-03-03","8.850","9.080","8.590","8.750","35986753","318735831.000","10194625.91","18852643.79","0.003440","0.003440","58.018920","56.898474","0"
"002625","2020-03-04","8.670","8.840","8.500","8.690","22978176","199323577.120","10124719.90","18723368.52","-0.006857","-0.006857","57.621076","56.508313","0"
"002625","2020-03-05","8.890","8.970","8.660","8.800","26729612","234996727.320","10252880.92","18960373.19","0.012658","0.012658","58.350457","57.223608","0"
"002625","2020-03-06","8.710","8.920","8.610","8.890","23776683","209406173.240","10357739.92","19154286.09","0.010227","0.010227","58.947223","57.808849","0"
"002625","2020-03-09","8.850","8.850","8.420","8.430","23917703","206390393.010","9821793.88","18163175.68","-0.051744","-0.051744","55.897085","54.817615","0"
"002625","2020-03-10","8.170","8.770","8.150","8.710","23635673","199384879.230","10148021.91","18766460.28","0.033215","0.033215","57.753690","56.638366","0"
"002625","2020-03-11","8.710","8.820","8.450","8.470","22946025","198552328.950","9868397.88","18249359.19","-0.027555","-0.027555","56.162314","55.077722","0"
"002625","2020-03-12","8.330","8.420","8.060","8.130","19906258","163211001.620","9472263.85","17516799.32","-0.040142","-0.040142","53.907865","52.866810","0"
"002625","2020-03-13","7.650","8.120","7.530","8.020","20544328","161396072.450","9344102.83","17279794.65","-0.013530","-0.013530","53.178484","52.151515","0"
"002625","2020-03-16","8.060","8.230","7.600","7.680","17935345","141652550.550","8947968.80","16547234.78","-0.042394","-0.042394","50.924035","49.940603","0"
"002625","2020-03-17","7.780","7.910","7.320","7.550","15381587","116168783.450","8796505.79","16267138.36","-0.016927","-0.016927","50.062040","49.095254","0"
"002625","2020-03-18","7.630","7.760","7.410","7.420","12568776","95571356.430","8645042.77","15987041.94","-0.017219","-0.017219","49.200045","48.249905","0"
"002625","2020-03-19","7.390","7.580","7.240","7.540","13430794","99341227.420","8784854.78","16245592.48","0.016173","0.016173","49.995733","49.030227","0"
