"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","Markettype","Ahshrtrd_D","Ahvaltrd_D"
"300750","2019-12-17","94.800","97.190","94.440","95.390","27739358","2651624403.940","114715013.45","210659247.38","0.033478","0.033478","95.575290","95.390000","16","0","0.000"
"300750","2019-12-18","94.460","94.500","92.170","93.190","18640537","1738803703.200","112069316.53","205800768.04","-0.023063","-0.023063","93.371017","93.190000","16","0","0.000"
"300750","2019-12-19","93.500","93.580","91.520","93.250","10843349","1003631198.180","112141471.90","205933272.03","0.000644","0.000644","93.431134","93.250000","16","0","0.000"
"300750","2019-12-20","93.240","94.880","92.710","92.780","10357947","968703786.340","111576254.83","204895324.17","-0.005040","-0.005040","92.960221","92.780000","16","0","0.000"
"300750","2019-12-23","92.000","95.390","91.560","92.900","14142900","1327211448.960","111720565.57","205160332.13","0.001293","0.001293","93.080454","92.900000","16","0","0.000"
"300750","2019-12-24","93.200","100.090","93.200","99.500","29704390","2899590776.300","119657656.34","219735770.15","0.071044","0.071044","99.693274","99.500000","16","0","0.000"
"300750","2019-12-25","99.350","105.480","98.150","105.300","23307715","2363520362.460","126632675.51","232544488.41","0.058291","0.058291","105.504540","105.300000","16","0","0.000"
"300750","2019-12-26","105.000","106.980","102.680","105.120","14841677","1549926129.000","126416209.40","232146976.46","-0.001709","-0.001709","105.324190","105.120000","16","0","0.000"
"300750","2019-12-27","105.120","110.000","103.150","104.200","24054959","2568286547.970","125309827.05","230115248.74","-0.008752","-0.008752","104.402403","104.200000","16","0","0.000"
"300750","2019-12-30","106.570","110.500","105.000","110.000","23577964","2546998962.120","132284846.21","242923967.00","0.055662","0.055662","110.213669","110.000000","16","0","0.000"
"300750","2019-12-31","109.860","110.350","105.540","106.400","21500700","2311684353.010","127955523.97","234973728.08","-0.032727","-0.032727","106.606676","106.400000","16","0","0.000"
"300750","2020-01-02","107.210","108.850","105.700","107.520","20611589","2213454650.950","129302424.22","237447135.74","0.010526","0.010526","107.728852","107.520000","16","0","0.000"
"300750","2020-01-03","107.520","110.190","105.970","109.550","18084178","1956828808.740","131743680.93","241930187.14","0.018880","0.018880","109.762795","109.550000","16","0","0.000"
"300750","2020-01-06","111.300","114.500","107.800","109.090","26500200","2958351779.870","131190489.75","240914323.27","-0.004199","-0.004199","109.301901","109.090000","16","0","0.000"
"300750","2020-01-07","109.010","109.640","107.410","108.500","13507544","1461154189.470","130480961.94","239611367.45","-0.005408","-0.005408","108.710755","108.500000","16","0","0.000"
"300750","2020-01-08","109.010","111.500","107.100","109.600","19224068","2098374347.290","131803810.41","242040607.12","0.010138","0.010138","109.812892","109.600000","16","0","0.000"
"300750","2020-01-09","112.000","115.500","110.010","115.000","20164351","2287090666.440","138297793.77","253965965.50","0.049270","0.049270","115.223381","115.000000","16","0","0.000"
"300750","2020-01-10","114.200","114.200","111.680","113.310","14428007","1628569248.450","136265417.49","250233770.01","-0.014696","-0.014696","113.530098","113.310000","16","0","0.000"
"300750","2020-01-13","116.000","118.480","114.200","116.900","21597445","2516539925.090","140582713.84","258161924.93","0.031683","0.031683","117.127071","116.900000","16","0","0.000"
"300750","2020-01-14","119.510","120.750","115.180","115.700","21768473","2585867747.090","139139606.42","255511845.29","-0.010265","-0.010265","115.924740","115.700000","16","0","0.000"
"300750","2020-01-15","115.700","117.580","112.210","115.300","17758720","2031327383.200","138658570.62","254628485.41","-0.003457","-0.003457","115.523963","115.300000","16","0","0.000"
"300750","2020-01-16","116.000","116.500","113.850","116.400","12934158","1492301746.760","139981419.08","257057725.08","0.009540","0.009540","116.626100","116.400000","16","0","0.000"
"300750","2020-01-17","116.360","117.560","114.000","115.080","14662407","1694771901.300","138394000.93","254142637.48","-0.011340","-0.011340","115.303536","115.080000","16","0","0.000"
"300750","2020-01-20","114.990","125.080","112.900","123.200","24892200","2992287056.790","148159027.76","272074843.04","0.070560","0.070560","123.439309","123.200000","16","0","0.000"
"300750","2020-01-21","122.510","123.000","120.460","121.650","14267108","1734790906.520","146295014.01","268651823.51","-0.012581","-0.012581","121.886298","121.650000","16","0","0.000"
"300750","2020-01-22","121.650","133.820","119.380","133.820","34991561","4493837402.160","160930528.36","295528047.85","0.100041","0.100041","134.079938","133.820000","16","0","0.000"
"300750","2020-01-23","132.500","137.000","125.100","130.570","35986224","4755930193.290","157022112.45","288350748.83","-0.024286","-0.024286","130.823625","130.570000","16","0","0.000"
"300750","2020-02-03","126.560","143.480","126.500","135.360","52634602","7148822247.270","162782516.21","298928983.39","0.036685","0.036685","135.622929","135.360000","16","0","0.000"
"300750","2020-02-04","145.770","148.900","140.010","148.900","35913583","5283954889.560","179065578.19","328830715.33","0.100030","0.100030","149.189230","148.900000","16","0","0.000"
"300750","2020-02-05","158.170","163.790","156.300","163.790","53082382","8588999756.730","196972136.01","361713786.86","0.100000","0.100000","164.108153","163.790000","16","0","0.000"
"300750","2020-02-06","155.010","169.890","152.990","169.890","57918993","9265610935.710","204307932.02","375185025.03","0.037243","0.037243","170.220002","169.890000","16","0","0.000"
"300750","2020-02-07","166.000","169.330","158.950","160.200","45499480","7426674364.740","192654839.66","353785631.94","-0.057037","-0.057037","160.511180","160.200000","16","0","0.000"
"300750","2020-02-10","161.000","168.580","160.000","165.260","37540921","6161572536.540","198739942.59","364960134.42","0.031586","0.031586","165.581009","165.260000","16","0","0.000"
"300750","2020-02-11","167.200","168.000","157.600","158.400","33994559","5451183356.850","190490178.54","349810512.48","-0.041510","-0.041510","158.707684","158.400000","16","0","0.000"
"300750","2020-02-12","153.550","161.840","152.030","159.650","32586206","5174595055.650","191993415.43","352571012.11","0.007891","0.007891","159.960112","159.650000","16","0","0.000"
"300750","2020-02-13","155.990","159.380","153.690","156.340","31360960","4914616428.000","188012844.15","345261209.10","-0.020733","-0.020733","156.643682","156.340000","16","0","0.000"
"300750","2020-02-14","158.900","159.900","148.860","149.900","43961853","6739413554.760","180268167.70","331039115.03","-0.041192","-0.041192","150.191173","149.900000","16","0","0.000"
"300750","2020-02-17","149.000","156.160","148.880","154.100","34447133","5309578996.440","185319043.65","340314393.77","0.028019","0.028019","154.399331","154.100000","16","0","0.000"
"300750","2020-02-18","154.100","159.000","152.850","156.620","28230513","4400767113.910","188349569.21","345879561.01","0.016353","0.016353","156.924226","156.620000","16","0","0.000"
