"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","LimitStatus"
"300280","2019-12-17","16.190","16.480","16.030","16.360","4255000","69372867.000","2192810.56","2651395.57","0.009877","0.009877","16.691988","16.359939","0"
"300280","2019-12-18","16.380","16.650","16.250","16.570","4818950","79343984.500","2220957.88","2685429.38","0.012836","0.012836","16.906249","16.569938","0"
"300280","2019-12-19","16.690","17.240","16.420","16.900","6744600","113515169.000","2265189.39","2738911.07","0.019916","0.019916","17.242946","16.899937","0"
"300280","2019-12-20","16.850","16.980","16.480","16.520","4293200","71596901.000","2214256.14","2677326.09","-0.022485","-0.022485","16.855235","16.519938","0"
"300280","2019-12-23","16.590","16.760","16.370","16.390","3474200","57493642.000","2196831.60","2656257.54","-0.007869","-0.007869","16.722597","16.389938","0"
"300280","2019-12-24","16.450","16.690","16.440","16.580","2513200","41586256.000","2222298.23","2687050.04","0.011592","0.011592","16.916453","16.579937","0"
"300280","2019-12-25","16.550","16.780","16.360","16.420","2815901","46578330.380","2200852.65","2661119.52","-0.009650","-0.009650","16.753206","16.419938","0"
"300280","2019-12-26","16.410","16.850","16.290","16.760","3970751","66091088.480","2246424.51","2716221.87","0.020706","0.020706","17.100106","16.759937","0"
"300280","2019-12-27","16.800","17.110","16.430","16.430","3689835","61810030.400","2202193.00","2662740.17","-0.019690","-0.019690","16.763409","16.429938","0"
"300280","2019-12-30","16.420","16.420","16.090","16.300","2505534","40643655.230","2184768.46","2641671.63","-0.007912","-0.007912","16.630771","16.299938","0"
"300280","2019-12-31","16.300","16.490","16.210","16.290","1592100","25982037.000","2183428.11","2640050.97","-0.000613","-0.000613","16.620568","16.289938","0"
"300280","2020-01-02","16.400","16.930","16.320","16.820","4299750","71757533.500","2254466.60","2725945.81","0.032535","0.032535","17.161323","16.819936","0"
"300280","2020-01-03","16.920","17.090","16.740","16.950","4519205","76447387.380","2271891.13","2747014.36","0.007729","0.007729","17.293961","16.949936","0"
"300280","2020-01-06","16.930","17.200","16.510","17.180","5236305","88823921.950","2302719.15","2784289.48","0.013569","0.013569","17.528628","17.179935","0"
"300280","2020-01-07","17.230","17.350","17.070","17.260","4242006","72926599.110","2313441.94","2797254.74","0.004657","0.004657","17.610251","17.259935","0"
"300280","2020-01-08","17.100","17.150","16.700","16.790","4081500","69079416.000","2250445.55","2721083.84","-0.027231","-0.027231","17.130713","16.789937","0"
"300280","2020-01-09","16.890","17.170","16.800","16.900","3161405","53557442.250","2265189.39","2738911.07","0.006552","0.006552","17.242945","16.899937","0"
"300280","2020-01-10","16.880","17.020","16.620","16.720","2598554","43651300.840","2241063.11","2709739.24","-0.010651","-0.010651","17.059292","16.719938","0"
"300280","2020-01-13","16.590","17.080","16.440","17.040","3780554","63428308.400","2283954.27","2761600.28","0.019139","0.019139","17.385786","17.039937","0"
"300280","2020-01-14","17.240","18.740","17.100","18.740","17069977","314342212.940","2511813.56","3037112.04","0.099765","0.099765","19.120283","18.739931","1"
"300280","2020-01-15","18.590","18.600","17.710","17.750","15167601","273070553.950","2379119.03","2876666.96","-0.052828","-0.052828","18.110193","17.749935","0"
"300280","2020-01-16","17.930","19.530","17.820","19.180","20668578","389190925.540","2570788.90","3108420.97","0.080563","0.080563","19.569211","19.179930","0"
