"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd","Dsmvosd","Dsmvtll","Dretwd","Dretnd","Adjprcwd","Adjprcnd","Ahshrtrd_D","Ahvaltrd_D"
"600519","2019-12-17","1149.700","1173.600","1143.030","1169.980","4261696","4937041950.000","1469726302.04","1469726302.04","0.019217","0.019217","8759.145160","6584.320386","0","0.000"
"600519","2019-12-18","1174.000","1175.200","1164.000","1168.000","1964009","2295963803.000","1467239030.40","1467239030.40","-0.001692","-0.001692","8744.321738","6573.177500","0","0.000"
"600519","2019-12-19","1163.000","1163.000","1152.000","1157.400","1955230","2262598597.000","1453923333.72","1453923333.72","-0.009075","-0.009075","8664.964024","6513.523663","0","0.000"
"600519","2019-12-20","1162.180","1162.180","1141.500","1146.300","2356384","2703612358.000","1439979538.14","1439979538.14","-0.009590","-0.009590","8581.863021","6451.055966","0","0.000"
"600519","2019-12-23","1139.000","1162.500","1136.000","1149.300","2591918","2981937538.000","1443748131.54","1443748131.54","0.002617","0.002617","8604.322751","6467.939127","0","0.000"
"600519","2019-12-24","1153.000","1155.000","1145.000","1148.000","1182310","1358536199.000","1442115074.40","1442115074.40","-0.001131","-0.001131","8594.590201","6460.623090","0","0.000"
"600519","2019-12-25","1143.000","1143.000","1130.010","1133.700","2430597","2755735164.000","1424151445.86","1424151445.86","-0.012456","-0.012456","8487.532152","6380.146688","0","0.000"
"600519","2019-12-26","1132.000","1141.980","1119.990","1135.100","2287727","2585996501.000","1425910122.78","1425910122.78","0.001235","0.001235","8498.013360","6388.025496","0","0.000"
"600519","2019-12-27","1150.000","1172.000","1150.000","1163.000","4706628","5486452901.000","1460958041.40","1460958041.40","0.024579","0.024579","8706.888853","6545.038897","0","0.000"
"600519","2019-12-30","1170.200","1195.500","1170.200","1185.800","4076066","4827682057.000","1489599351.24","1489599351.24","0.019604","0.019604","8877.582805","6673.350924","0","0.000"
"600519","2019-12-31","1183.000","1188.000","1176.510","1183.000","2258881","2666705100.000","1486081997.40","1486081997.40","-0.002361","-0.002361","8856.620390","6657.593306","0","0.000"
"600519","2020-01-02","1128.000","1145.060","1116.000","1130.000","14809916","16696837095.000","1419503514.00","1419503514.00","-0.044801","-0.044801","8459.831818","6359.324122","0","0.000"
"600519","2020-01-03","1117.000","1117.000","1076.900","1078.560","13031878","14266380596.000","1354884699.17","1354884699.17","-0.045522","-0.045522","8074.722306","6069.834181","0","0.000"
"600519","2020-01-06","1070.860","1092.900","1067.300","1077.990","6341478","6853917601.000","1354168666.42","1354168666.42","-0.000528","-0.000528","8070.454957","6066.626381","0","0.000"
"600519","2020-01-07","1077.500","1099.000","1076.400","1094.530","4785359","5220697068.000","1374946178.03","1374946178.03","0.015343","0.015343","8194.282937","6159.708877","0","0.000"
"600519","2020-01-08","1085.050","1095.500","1082.580","1088.140","2500825","2720371915.000","1366919074.09","1366919074.09","-0.005838","-0.005838","8146.443712","6123.747743","0","0.000"
"600519","2020-01-09","1094.000","1105.390","1090.000","1102.700","3740587","4110949814.000","1385209314.06","1385209314.06","0.013381","0.013381","8255.448270","6205.687353","0","0.000"
"600519","2020-01-10","1109.000","1115.990","1102.500","1112.500","3597587","3993457118.000","1397520052.50","1397520052.50","0.008887","0.008887","8328.816723","6260.839014","0","0.000"
"600519","2020-01-13","1112.500","1129.200","1112.000","1124.270","3851575","4325687959.000","1412305500.61","1412305500.61","0.010580","0.010580","8416.933733","6327.077284","0","0.000"
"600519","2020-01-14","1124.200","1124.890","1103.000","1107.400","3514465","3916300790.000","1391113443.72","1391113443.72","-0.015005","-0.015005","8290.635182","6232.137640","0","0.000"
"600519","2020-01-15","1109.010","1121.600","1105.000","1112.130","2602911","2895603674.000","1397055259.31","1397055259.31","0.004271","0.004271","8326.046690","6258.756757","0","0.000"
"600519","2020-01-16","1118.870","1118.870","1102.580","1107.000","2319165","2571593141.000","1390610964.60","1390610964.60","-0.004613","-0.004613","8287.640551","6229.886551","0","0.000"
"600519","2020-01-17","1110.000","1112.780","1101.010","1107.500","2347275","2599645144.000","1391239063.50","1391239063.50","0.000452","0.000452","8291.383840","6232.700412","0","0.000"
"600519","2020-01-20","1111.860","1111.860","1082.000","1091.000","3539130","3858246844.000","1370511799.80","1370511799.80","-0.014898","-0.014898","8167.855322","6139.843024","0","0.000"
"600519","2020-01-21","1081.000","1087.000","1072.300","1075.300","3287405","3542441308.000","1350789494.34","1350789494.34","-0.014390","-0.014390","8050.316065","6051.487812","0","0.000"
"600519","2020-01-22","1070.000","1084.000","1055.380","1075.510","3620004","3875275065.000","1351053295.88","1351053295.88","0.000195","0.000195","8051.888246","6052.669633","0","0.000"
"600519","2020-01-23","1076.000","1076.000","1037.000","1052.800","5346843","5638945742.000","1322525043.84","1322525043.84","-0.021116","-0.021116","7881.868086","5924.864102","0","0.000"
"600519","2020-02-03","985.000","1010.680","980.000","1003.920","12344288","12314991759.000","1261122095.38","1261122095.38","-0.046429","-0.046429","7515.924211","5649.781126","0","0.000"
"600519","2020-02-04","1015.000","1057.000","1011.010","1038.010","6262418","6490469043.000","1303945878.38","1303945878.38","0.033957","0.033957","7771.141615","5841.630116","0","0.000"
"600519","2020-02-05","1050.000","1054.000","1033.030","1049.990","4741824","4956355235.000","1318995128.02","1318995128.02","0.011541","0.011541","7860.830805","5909.050207","0","0.000"
"600519","2020-02-06","1059.430","1075.000","1052.020","1071.000","4717121","5011246407.000","1345387843.80","1345387843.80","0.020010","0.020010","8018.123784","6027.288614","0","0.000"
"600519","2020-02-07","1070.010","1077.000","1061.020","1076.000","3127871","3348894576.000","1351668832.80","1351668832.80","0.004669","0.004669","8055.556669","6055.427216","0","0.000"
"600519","2020-02-10","1062.000","1074.600","1057.200","1066.490","3053342","3251908506.000","1339722391.72","1339722391.72","-0.008838","-0.008838","7984.359323","6001.907595","0","0.000"
"600519","2020-02-11","1063.000","1099.680","1062.800","1098.000","4791793","5222918915.000","1379305184.40","1379305184.40","0.029546","0.029546","8220.261359","6179.237067","0","0.000"
"600519","2020-02-12","1089.000","1098.790","1085.880","1097.270","2812543","3072293973.000","1378388160.01","1378388160.01","-0.000665","-0.000665","8214.796157","6175.128830","0","0.000"
"600519","2020-02-13","1098.000","1113.890","1088.010","1091.000","3035736","3335277425.000","1370511799.80","1370511799.80","-0.005714","-0.005714","8167.855320","6139.843023","0","0.000"
"600519","2020-02-14","1090.450","1093.510","1083.110","1088.000","2328760","2534568401.000","1366743206.40","1366743206.40","-0.002750","-0.002750","8145.395590","6122.959861","0","0.000"
"600519","2020-02-17","1082.500","1096.190","1082.400","1093.820","2702822","2946182657.000","1374054277.60","1374054277.60","0.005349","0.005349","8188.967467","6155.713194","0","0.000"
"600519","2020-02-18","1090.010","1096.880","1083.000","1084.000","2666496","2897729692.000","1361718415.20","1361718415.20","-0.008978","-0.008978","8115.449283","6100.448980","0","0.000"
